GSM_ID,GEO_ID,Label,Sample_title,Subject_Group,Group_Confidence,Group_Basis,Group_samples,Group_labels,Set,Validation_fold,Spans_development_heldout,Spans_primary_CV_folds
GSM1501830,GSE61304,Cancer,"breast tumor epithelium,10",GSE61304:GSM:GSM1501830,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,3.0,False,False
GSM1501831,GSE61304,Cancer,"breast tumor epithelium,11",GSE61304:GSM:GSM1501831,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,5.0,False,False
GSM1501832,GSE61304,Cancer,"breast tumor epithelium,12",GSE61304:GSM:GSM1501832,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,2.0,False,False
GSM1501833,GSE61304,Cancer,"breast tumor epithelium,13",GSE61304:GSM:GSM1501833,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,5.0,False,False
GSM1501834,GSE61304,Cancer,"breast tumor epithelium,14",GSE61304:GSM:GSM1501834,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,5.0,False,False
GSM1501835,GSE61304,Cancer,"breast tumor epithelium,15",GSE61304:GSM:GSM1501835,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,5.0,False,False
GSM1501836,GSE61304,Cancer,"breast tumor epithelium,16",GSE61304:GSM:GSM1501836,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,5.0,False,False
GSM1501837,GSE61304,Cancer,"breast tumor epithelium,17",GSE61304:GSM:GSM1501837,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,3.0,False,False
GSM1501838,GSE61304,Cancer,"breast tumor epithelium,18",GSE61304:GSM:GSM1501838,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Post-harmonization held-out,,False,False
GSM1501839,GSE61304,Cancer,"breast tumor epithelium,19",GSE61304:GSM:GSM1501839,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,3.0,False,False
GSM1501840,GSE61304,Cancer,"breast tumor epithelium,20",GSE61304:GSM:GSM1501840,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,3.0,False,False
GSM1501841,GSE61304,Cancer,"breast tumor epithelium,21",GSE61304:GSM:GSM1501841,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,4.0,False,False
GSM1501842,GSE61304,Cancer,"breast tumor epithelium,22",GSE61304:GSM:GSM1501842,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,5.0,False,False
GSM1501843,GSE61304,Cancer,"breast tumor epithelium,23",GSE61304:GSM:GSM1501843,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,3.0,False,False
GSM1501844,GSE61304,Cancer,"breast tumor epithelium,24",GSE61304:GSM:GSM1501844,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,4.0,False,False
GSM1501845,GSE61304,Cancer,"breast tumor epithelium,25",GSE61304:GSM:GSM1501845,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,1.0,False,False
GSM1501846,GSE61304,Cancer,"breast tumor epithelium,26",GSE61304:GSM:GSM1501846,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,2.0,False,False
GSM1501847,GSE61304,Cancer,"breast tumor epithelium,27",GSE61304:GSM:GSM1501847,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,2.0,False,False
GSM1501848,GSE61304,Cancer,"breast tumor epithelium,28",GSE61304:GSM:GSM1501848,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,3.0,False,False
GSM1501849,GSE61304,Normal,"normal breast epithelium,2",GSE61304:GSM:GSM1501849,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Normal,Post-harmonization held-out,,False,False
GSM1501850,GSE61304,Cancer,"breast tumor epithelium,29",GSE61304:GSM:GSM1501850,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,2.0,False,False
GSM1501851,GSE61304,Cancer,"breast tumor epithelium,58",GSE61304:GSM:GSM1501851,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,2.0,False,False
GSM1501852,GSE61304,Cancer,"breast tumor epithelium,30",GSE61304:GSM:GSM1501852,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,3.0,False,False
GSM1501853,GSE61304,Cancer,"breast tumor epithelium,31",GSE61304:GSM:GSM1501853,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,4.0,False,False
GSM1501854,GSE61304,Cancer,"breast tumor epithelium,32",GSE61304:GSM:GSM1501854,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,3.0,False,False
GSM1501855,GSE61304,Cancer,"breast tumor epithelium,33",GSE61304:GSM:GSM1501855,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Post-harmonization held-out,,False,False
GSM1501856,GSE61304,Cancer,"breast tumor epithelium,57",GSE61304:GSM:GSM1501856,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,3.0,False,False
GSM1501857,GSE61304,Cancer,"breast tumor epithelium,34",GSE61304:GSM:GSM1501857,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,5.0,False,False
GSM1501858,GSE61304,Cancer,"breast tumor epithelium,35",GSE61304:GSM:GSM1501858,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,4.0,False,False
GSM1501859,GSE61304,Cancer,"breast tumor epithelium,36",GSE61304:GSM:GSM1501859,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,1.0,False,False
GSM1501860,GSE61304,Cancer,"breast tumor epithelium,37",GSE61304:GSM:GSM1501860,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,5.0,False,False
GSM1501861,GSE61304,Cancer,"breast tumor epithelium,38",GSE61304:GSM:GSM1501861,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,2.0,False,False
GSM1501862,GSE61304,Cancer,"breast tumor epithelium,39",GSE61304:GSM:GSM1501862,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,1.0,False,False
GSM1501863,GSE61304,Cancer,"breast tumor epithelium,54",GSE61304:GSM:GSM1501863,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,5.0,False,False
GSM1501864,GSE61304,Cancer,"breast tumor epithelium,40",GSE61304:GSM:GSM1501864,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,4.0,False,False
GSM1501865,GSE61304,Normal,"normal breast epithelium,3",GSE61304:GSM:GSM1501865,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Normal,Model-development,4.0,False,False
GSM1501866,GSE61304,Cancer,"breast tumor epithelium,53",GSE61304:GSM:GSM1501866,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,3.0,False,False
GSM1501867,GSE61304,Cancer,"breast tumor epithelium,41",GSE61304:GSM:GSM1501867,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Post-harmonization held-out,,False,False
GSM1501868,GSE61304,Cancer,"breast tumor epithelium,42",GSE61304:GSM:GSM1501868,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Post-harmonization held-out,,False,False
GSM1501869,GSE61304,Cancer,"breast tumor epithelium,43",GSE61304:GSM:GSM1501869,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,1.0,False,False
GSM1501870,GSE61304,Cancer,"breast tumor epithelium,44",GSE61304:GSM:GSM1501870,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,4.0,False,False
GSM1501871,GSE61304,Cancer,"breast tumor epithelium,45",GSE61304:GSM:GSM1501871,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Post-harmonization held-out,,False,False
GSM1501872,GSE61304,Cancer,"breast tumor epithelium,46",GSE61304:GSM:GSM1501872,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,1.0,False,False
GSM1501873,GSE61304,Cancer,"breast tumor epithelium,47",GSE61304:GSM:GSM1501873,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Post-harmonization held-out,,False,False
GSM1501874,GSE61304,Cancer,"breast tumor epithelium,48",GSE61304:GSM:GSM1501874,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Post-harmonization held-out,,False,False
GSM1501875,GSE61304,Cancer,"breast tumor epithelium,49",GSE61304:GSM:GSM1501875,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,2.0,False,False
GSM1501876,GSE61304,Cancer,"breast tumor epithelium,50",GSE61304:GSM:GSM1501876,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,4.0,False,False
GSM1501877,GSE61304,Cancer,"breast tumor epithelium,51",GSE61304:GSM:GSM1501877,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,5.0,False,False
GSM1501878,GSE61304,Cancer,"breast tumor epithelium,52",GSE61304:GSM:GSM1501878,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Post-harmonization held-out,,False,False
GSM1501879,GSE61304,Normal,"normal breast epithelium,4",GSE61304:GSM:GSM1501879,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Normal,Model-development,1.0,False,False
GSM1045191,GSE42568,Normal,"Normal breast, N1_15_12_04",GSE42568:GSM:GSM1045191,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Normal,Model-development,4.0,False,False
GSM1045192,GSE42568,Normal,"Normal breast, N4_14_12_04",GSE42568:GSM:GSM1045192,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Normal,Model-development,2.0,False,False
GSM1045193,GSE42568,Normal,"Normal breast, N5_15_12_04",GSE42568:GSM:GSM1045193,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Normal,Model-development,2.0,False,False
GSM1045194,GSE42568,Normal,"Normal breast, N6_14_12_04",GSE42568:GSM:GSM1045194,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Normal,Model-development,5.0,False,False
GSM1045195,GSE42568,Normal,"Normal breast, P1_15_12_04",GSE42568:GSM:GSM1045195,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Normal,Model-development,4.0,False,False
GSM1045196,GSE42568,Normal,"Normal breast, P10_26_1_05",GSE42568:GSM:GSM1045196,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Normal,Model-development,5.0,False,False
GSM1045197,GSE42568,Normal,"Normal breast, P11_25_1_05",GSE42568:GSM:GSM1045197,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Normal,Model-development,4.0,False,False
GSM1045198,GSE42568,Normal,"Normal breast, P12_25_1_05",GSE42568:GSM:GSM1045198,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Normal,Model-development,5.0,False,False
GSM1045199,GSE42568,Normal,"Normal breast, P13_25_1_05",GSE42568:GSM:GSM1045199,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Normal,Model-development,3.0,False,False
GSM1045200,GSE42568,Normal,"Normal breast, P14_25_1_05",GSE42568:GSM:GSM1045200,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Normal,Post-harmonization held-out,,False,False
GSM1045201,GSE42568,Normal,"Normal breast, P18_25_1_05",GSE42568:GSM:GSM1045201,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Normal,Model-development,3.0,False,False
GSM1045202,GSE42568,Normal,"Normal breast, P21_25_1_05",GSE42568:GSM:GSM1045202,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Normal,Model-development,1.0,False,False
GSM1045203,GSE42568,Normal,"Normal breast, P3_22_12_04",GSE42568:GSM:GSM1045203,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Normal,Model-development,5.0,False,False
GSM1045204,GSE42568,Normal,"Normal breast, P4_14_12_04",GSE42568:GSM:GSM1045204,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Normal,Model-development,3.0,False,False
GSM1045205,GSE42568,Normal,"Normal breast, P5_21_12_04",GSE42568:GSM:GSM1045205,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Normal,Model-development,2.0,False,False
GSM1045206,GSE42568,Normal,"Normal breast, P8_25_1_05",GSE42568:GSM:GSM1045206,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Normal,Model-development,3.0,False,False
GSM1045207,GSE42568,Normal,"Normal breast, P9_25_1_05",GSE42568:GSM:GSM1045207,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Normal,Post-harmonization held-out,,False,False
GSM1045208,GSE42568,Cancer,"Breast cancer, S1_21_12_04",GSE42568:GSM:GSM1045208,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,1.0,False,False
GSM1045209,GSE42568,Cancer,"Breast cancer, S10_22_12_04",GSE42568:GSM:GSM1045209,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Post-harmonization held-out,,False,False
GSM1045210,GSE42568,Cancer,"Breast cancer, S11_14_12_04",GSE42568:GSM:GSM1045210,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,4.0,False,False
GSM1045211,GSE42568,Cancer,"Breast cancer, S14_21_12_04",GSE42568:GSM:GSM1045211,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,4.0,False,False
GSM1045212,GSE42568,Cancer,"Breast cancer, S15_15_12_04",GSE42568:GSM:GSM1045212,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Post-harmonization held-out,,False,False
GSM1045213,GSE42568,Cancer,"Breast cancer, S16_20_12_04",GSE42568:GSM:GSM1045213,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,1.0,False,False
GSM1045214,GSE42568,Cancer,"Breast cancer, S18_22_12_04",GSE42568:GSM:GSM1045214,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,3.0,False,False
GSM1045215,GSE42568,Cancer,"Breast cancer, S2_15_12_04",GSE42568:GSM:GSM1045215,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,2.0,False,False
GSM1045216,GSE42568,Cancer,"Breast cancer, S20_14_12_04",GSE42568:GSM:GSM1045216,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,3.0,False,False
GSM1045217,GSE42568,Cancer,"Breast cancer, S22_9_12_04",GSE42568:GSM:GSM1045217,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,2.0,False,False
GSM1045218,GSE42568,Cancer,"Breast cancer, S25_10_12_04",GSE42568:GSM:GSM1045218,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Post-harmonization held-out,,False,False
GSM1045219,GSE42568,Cancer,"Breast cancer, S26_10_12_04",GSE42568:GSM:GSM1045219,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,1.0,False,False
GSM1045220,GSE42568,Cancer,"Breast cancer, S28_7_12_04",GSE42568:GSM:GSM1045220,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,5.0,False,False
GSM1045221,GSE42568,Cancer,"Breast cancer, S29_10_12_04",GSE42568:GSM:GSM1045221,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,1.0,False,False
GSM1045222,GSE42568,Cancer,"Breast cancer, S3_20_12_04",GSE42568:GSM:GSM1045222,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,5.0,False,False
GSM1045223,GSE42568,Cancer,"Breast cancer, S30_14_12_04",GSE42568:GSM:GSM1045223,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,1.0,False,False
GSM1045224,GSE42568,Cancer,"Breast cancer, S31_3_12_04",GSE42568:GSM:GSM1045224,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,4.0,False,False
GSM1045225,GSE42568,Cancer,"Breast cancer, S32_3_12_04",GSE42568:GSM:GSM1045225,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,3.0,False,False
GSM1045226,GSE42568,Cancer,"Breast cancer, S33_3_12_04",GSE42568:GSM:GSM1045226,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,3.0,False,False
GSM1045227,GSE42568,Cancer,"Breast cancer, S35_8_12_04",GSE42568:GSM:GSM1045227,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,3.0,False,False
GSM1045228,GSE42568,Cancer,"Breast cancer, S36_20_12_04",GSE42568:GSM:GSM1045228,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,1.0,False,False
GSM1045229,GSE42568,Cancer,"Breast cancer, S37_8_12_04",GSE42568:GSM:GSM1045229,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,3.0,False,False
GSM1045230,GSE42568,Cancer,"Breast cancer, S38_10_12_04",GSE42568:GSM:GSM1045230,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,1.0,False,False
GSM1045231,GSE42568,Cancer,"Breast cancer, S5_15_12_04",GSE42568:GSM:GSM1045231,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,1.0,False,False
GSM1045232,GSE42568,Cancer,"Breast cancer, S6_20_12_04",GSE42568:GSM:GSM1045232,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,5.0,False,False
GSM1045233,GSE42568,Cancer,"Breast cancer, S7_14_12_04",GSE42568:GSM:GSM1045233,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,2.0,False,False
GSM1045234,GSE42568,Cancer,"Breast cancer, T1_14_12_04",GSE42568:GSM:GSM1045234,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,5.0,False,False
GSM1045235,GSE42568,Cancer,"Breast cancer, T10_8_12_04",GSE42568:GSM:GSM1045235,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,5.0,False,False
GSM1045236,GSE42568,Cancer,"Breast cancer, T101A_9_12_04",GSE42568:GSM:GSM1045236,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,4.0,False,False
GSM1045237,GSE42568,Cancer,"Breast cancer, T103_9_12_04",GSE42568:GSM:GSM1045237,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,4.0,False,False
GSM1045238,GSE42568,Cancer,"Breast cancer, T104_9_12_04",GSE42568:GSM:GSM1045238,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Post-harmonization held-out,,False,False
GSM1045239,GSE42568,Cancer,"Breast cancer, T105B",GSE42568:GSM:GSM1045239,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,3.0,False,False
GSM1045240,GSE42568,Cancer,"Breast cancer, T106_21_12_04",GSE42568:GSM:GSM1045240,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,4.0,False,False
GSM1045241,GSE42568,Cancer,"Breast cancer, T107_7_12_04",GSE42568:GSM:GSM1045241,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Post-harmonization held-out,,False,False
GSM1045242,GSE42568,Cancer,"Breast cancer, T108_21_12_04",GSE42568:GSM:GSM1045242,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,4.0,False,False
GSM1045243,GSE42568,Cancer,"Breast cancer, T109_21_12_04",GSE42568:GSM:GSM1045243,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,3.0,False,False
GSM1045244,GSE42568,Cancer,"Breast cancer, T11_21_12_04",GSE42568:GSM:GSM1045244,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,4.0,False,False
GSM1045245,GSE42568,Cancer,"Breast cancer, T111_14_12_04",GSE42568:GSM:GSM1045245,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Post-harmonization held-out,,False,False
GSM1045246,GSE42568,Cancer,"Breast cancer, T112_3_12_04",GSE42568:GSM:GSM1045246,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,3.0,False,False
GSM1045247,GSE42568,Cancer,"Breast cancer, T113_22_12_04",GSE42568:GSM:GSM1045247,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,1.0,False,False
GSM1045248,GSE42568,Cancer,"Breast cancer, T114_7_12_04",GSE42568:GSM:GSM1045248,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,4.0,False,False
GSM1045249,GSE42568,Cancer,"Breast cancer, T115_15_12_04",GSE42568:GSM:GSM1045249,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,4.0,False,False
GSM1045250,GSE42568,Cancer,"Breast cancer, T119_8_12_04",GSE42568:GSM:GSM1045250,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Post-harmonization held-out,,False,False
GSM1045251,GSE42568,Cancer,"Breast cancer, T12_22_12_04",GSE42568:GSM:GSM1045251,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,1.0,False,False
GSM1045252,GSE42568,Cancer,"Breast cancer, T120_10_12_04",GSE42568:GSM:GSM1045252,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Post-harmonization held-out,,False,False
GSM1045253,GSE42568,Cancer,"Breast cancer, T122_9_12_04",GSE42568:GSM:GSM1045253,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,4.0,False,False
GSM1045254,GSE42568,Cancer,"Breast cancer, T123_14_12_04",GSE42568:GSM:GSM1045254,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,1.0,False,False
GSM1045255,GSE42568,Cancer,"Breast cancer, T124_25_1_05",GSE42568:GSM:GSM1045255,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Post-harmonization held-out,,False,False
GSM1045256,GSE42568,Cancer,"Breast cancer, T125_21_12_04",GSE42568:GSM:GSM1045256,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,1.0,False,False
GSM1045257,GSE42568,Cancer,"Breast cancer, T127_8_12_04",GSE42568:GSM:GSM1045257,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Post-harmonization held-out,,False,False
GSM1045258,GSE42568,Cancer,"Breast cancer, T128_22_12_04",GSE42568:GSM:GSM1045258,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,3.0,False,False
GSM1045259,GSE42568,Cancer,"Breast cancer, T129_20_12_04",GSE42568:GSM:GSM1045259,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,5.0,False,False
GSM1045260,GSE42568,Cancer,"Breast cancer, T13_9_12_04",GSE42568:GSM:GSM1045260,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,4.0,False,False
